ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
2,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
3,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
4,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
5,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
6,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
7,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
8,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
9,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
10,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
11,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
12,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
13,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
14,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
15,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
16,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
17,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
18,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
19,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
20,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
21,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
22,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
23,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
24,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
25,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
26,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
27,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
28,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
29,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
30,3.82,3.74,3.79,3.96,3.94,3.82,3.81,3.93,3.81,3.75,3.75,3.86,3.84
