ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
2,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
3,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
4,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
5,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
6,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
7,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
8,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
9,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
10,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
11,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
12,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
13,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
14,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
15,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
16,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
17,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
18,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
19,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
20,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
21,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
22,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
23,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
24,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
25,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
26,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
27,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
28,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
29,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
30,5.76,5.71,5.79,5.89,5.92,5.64,5.77,5.81,5.76,5.73,5.73,5.87,5.87
