ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.56,4.42,
2,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.56,4.42,
3,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
4,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
5,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
6,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
7,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
8,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
9,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
10,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
11,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
12,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
13,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
14,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
15,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
16,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
17,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
18,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
19,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
20,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
21,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
22,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
23,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
24,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
25,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
26,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
27,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
28,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
29,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
30,4.27,4.32,4.36,4.42,4.39,4.34,4.34,4.42,4.33,4.44,4.55,4.42,
