ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
2,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
3,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
4,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
5,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
6,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
7,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
8,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
9,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
10,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
11,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
12,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
13,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
14,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
15,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
16,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
17,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
18,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
19,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
20,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
21,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
22,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
23,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
24,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
25,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
26,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
27,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
28,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
29,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
30,3.27,3.27,3.27,3.35,3.41,3.24,3.33,3.33,3.31,3.29,3.24,3.64,3.29
