ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
2,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
3,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
4,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
5,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
6,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
7,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
8,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
9,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
10,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
11,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
12,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
13,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
14,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
15,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
16,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
17,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
18,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
19,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
20,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
21,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
22,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
23,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
24,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
25,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
26,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
27,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
28,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
29,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
30,2.84,2.75,2.76,2.84,2.92,2.9,2.9,2.83,2.9,2.9,2.9,2.8,2.84
