ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
2,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
3,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
4,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
5,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
6,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
7,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
8,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
9,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
10,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
11,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
12,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
13,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
14,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
15,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
16,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
17,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
18,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
19,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
20,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
21,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
22,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
23,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
24,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
25,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
26,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
27,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
28,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
29,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
30,1.86,1.83,1.8,1.87,1.97,1.93,1.94,1.9,1.93,1.93,1.93,1.8,1.85
