ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
2,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
3,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
4,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
5,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
6,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
7,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
8,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
9,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
10,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
11,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
12,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
13,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
14,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
15,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
16,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
17,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
18,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
19,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
20,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
21,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
22,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
23,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
24,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
25,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
26,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
27,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
28,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
29,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
30,4.76,4.73,4.73,4.81,4.99,4.86,4.86,4.86,4.84,4.84,4.82,4.57,4.74
