ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
2,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
3,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
4,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
5,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
6,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
7,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
8,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
9,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
10,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
11,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
12,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
13,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
14,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
15,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
16,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
17,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
18,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
19,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
20,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
21,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
22,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
23,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
24,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
25,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
26,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
27,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
28,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
29,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
30,4.35,4.26,4.22,4.34,4.37,4.36,4.4,4.27,4.32,4.41,4.4,4.7,4.36
