ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
2,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
3,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
4,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
5,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
6,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
7,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
8,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
9,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
10,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
11,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
12,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
13,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
14,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
15,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
16,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
17,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
18,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
19,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
20,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
21,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
22,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
23,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
24,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
25,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
26,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
27,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
28,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
29,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
30,5.24,5.21,5.2,5.27,5.39,5.34,5.34,5.33,5.18,5.3,5.31,5.14,5.2
