ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
2,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
3,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
4,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
5,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
6,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
7,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
8,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
9,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
10,3.29,-78.84,3.28,-79.99,3.32,-84.45,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
11,3.29,-78.84,3.28,-79.99,3.32,-84.4,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
12,3.29,-78.84,3.28,-79.99,3.32,-84.4,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
13,3.29,-78.84,3.28,-79.99,3.32,-84.4,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
14,3.29,-78.84,3.28,-79.99,3.32,-84.4,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
15,3.29,-78.84,3.28,-79.99,3.32,-84.4,3.33,-79.78,3.4,-82.7,3.33,-82.05,3.35,-82.82,3.34,-82.41,3.35,-89.0,3.32,-81.16,3.64,-82.73,3.33,-80.91,3.27,-80.53
