ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.89,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
2,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.89,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
3,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.89,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
4,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.89,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
5,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
6,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
7,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
8,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
9,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
10,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
11,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
12,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
13,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
14,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
15,1.85,-73.55,1.84,-73.18,1.84,-75.2,1.89,-76.03,1.96,-81.38,1.91,-75.47,1.91,-73.58,1.89,-75.01,1.86,-77.34,1.89,-75.3,1.88,-76.94,1.78,-76.22,1.79,-74.14
