ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
2,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
3,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
4,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
5,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
6,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
7,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
8,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
9,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
10,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
11,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
12,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.39,-79.75,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
13,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
14,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
15,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-78.92,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
16,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
17,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
18,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
19,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
20,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
21,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
22,2.32,-74.55,2.32,-75.94,2.33,-79.8,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
23,2.32,-74.55,2.32,-75.94,2.33,-79.6,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
24,2.32,-74.55,2.32,-75.94,2.33,-79.6,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
25,2.32,-74.55,2.32,-75.94,2.33,-79.6,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
26,2.32,-74.55,2.32,-75.94,2.33,-79.6,2.34,-79.91,2.4,-79.47,2.39,-79.74,2.39,-79.87,2.41,-77.67,2.39,-80.22,2.37,-80.07,2.37,-81.98,2.25,-82.26,2.29,-77.51
