ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
2,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
3,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
4,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
5,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
6,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
7,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
8,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
9,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
10,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
11,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
12,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
13,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
14,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
15,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
16,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
17,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
18,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
19,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
20,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
21,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
22,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
23,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
24,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
25,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
26,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
27,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
28,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
29,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
30,4.74,-86.65,,,,,,,,,,,,,,,,,,,,,,,4.8,-84.78
