ID,0,RX0,30,RX30,60,RX60,90,RX90,120,RX120,150,RX150,180,RX180,210,RX210,240,RX240,270,RX270,300,RX300,330,RX330,360,RX360
1,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
2,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
3,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
4,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
5,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
6,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
7,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.62,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
8,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
9,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
10,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
11,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
12,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
13,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
14,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
15,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
16,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-78.75
17,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
18,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
19,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
20,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
21,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
22,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
23,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
24,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
25,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
26,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
27,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
28,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
29,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
30,3.76,-81.0,3.77,-82.28,3.76,-83.07,3.85,-85.81,3.87,-88.1,3.93,-81.19,3.88,-83.34,3.91,-81.43,3.93,-85.21,3.82,-84.72,3.93,-80.04,3.85,-83.9,3.79,-79.18
